epoch,step,train_loss,train_acc,val_acc,val_loss
0,49,0.9087209105491638,0.59375,,
0,99,0.9670907258987427,0.53125,,
0,99,,,0.386904776096344,1.0436737537384033
1,149,1.195188283920288,0.09375,,
1,199,0.9872583746910095,0.34375,,
1,199,,,0.43690475821495056,1.0360444784164429
