train_acc,step,epoch,train_loss,val_acc,val_loss
0.65625,1839,14,0.9322741627693176,,
0.5,1855,14,1.0193496942520142,,
0.4375,1871,14,1.0933191776275635,,
0.46875,1887,14,0.9641300439834595,,
0.125,1903,14,1.4333548545837402,,
0.34375,1919,14,1.0808600187301636,,
0.5625,1935,14,0.9316243529319763,,
0.46875,1951,14,0.9265346527099609,,
,1964,14,,0.47261905670166016,1.036737322807312
0.59375,1967,15,0.86490398645401,,
0.5,1983,15,0.9630705118179321,,
0.65625,1999,15,0.9086744785308838,,
0.4375,2015,15,1.1324689388275146,,
0.5,2031,15,0.9789741635322571,,
0.5625,2047,15,0.9217802286148071,,
0.375,2063,15,1.2253495454788208,,
0.5,2079,15,0.9877841472625732,,
0.3125,2095,15,1.167027473449707,,
,2095,15,,0.4821428656578064,1.0202999114990234
0.46875,2111,16,1.021980881690979,,
0.40625,2127,16,0.9894195199012756,,
0.5625,2143,16,1.0599267482757568,,
0.5625,2159,16,0.9205780625343323,,
0.5,2175,16,1.064464807510376,,
0.53125,2191,16,0.9514891505241394,,
0.5,2207,16,0.9799517393112183,,
0.46875,2223,16,1.1080174446105957,,
,2226,16,,0.4660714268684387,1.0464767217636108
0.65625,2239,17,0.8178215026855469,,
0.6875,2255,17,0.7702181935310364,,
0.5625,2271,17,0.8598284125328064,,
0.4375,2287,17,1.0990146398544312,,
0.71875,2303,17,0.7344767451286316,,
0.25,2319,17,1.2167893648147583,,
0.53125,2335,17,0.8428919315338135,,
0.4375,2351,17,1.250048279762268,,
,2357,17,,0.4613095223903656,1.0322809219360352
0.65625,2367,18,0.8708140850067139,,
0.6875,2383,18,0.886328935623169,,
0.40625,2399,18,1.162095308303833,,
0.5625,2415,18,0.9101988077163696,,
0.5,2431,18,0.8307546973228455,,
0.625,2447,18,0.8513628244400024,,
0.4375,2463,18,0.9291146993637085,,
0.53125,2479,18,0.9147102236747742,,
,2488,18,,0.4714285731315613,1.0240546464920044
0.59375,2495,19,0.9467031359672546,,
0.28125,2511,19,1.1230053901672363,,
0.5,2527,19,1.0254113674163818,,
0.5,2543,19,1.0762823820114136,,
0.40625,2559,19,0.8697874546051025,,
0.59375,2575,19,0.9023423790931702,,
0.21875,2591,19,1.2203590869903564,,
0.59375,2607,19,1.0283825397491455,,
,2619,19,,0.4809523820877075,1.0249061584472656
0.65625,2623,20,0.8912814259529114,,
0.5,2639,20,1.0203144550323486,,
0.375,2655,20,1.1068040132522583,,
0.4375,2671,20,0.9388635754585266,,
0.625,2687,20,0.9412254095077515,,
0.40625,2703,20,1.0697126388549805,,
0.625,2719,20,1.0735721588134766,,
0.1875,2735,20,1.2764790058135986,,
,2750,20,,0.47380951046943665,1.0196696519851685
0.375,2751,21,1.0320675373077393,,
0.5625,2767,21,0.8617962002754211,,
0.4375,2783,21,1.0795034170150757,,
