train_loss,train_soft_loss,epoch,step,val_loss,val_soft_loss
0.2560259997844696,0.2560259997844696,0,15,,
0.5862278342247009,0.5862278342247009,0,31,,
0.6170876622200012,0.6170876622200012,0,47,,
0.5968390703201294,0.5968390703201294,0,63,,
0.13817617297172546,0.13817617297172546,0,79,,
0.14798954129219055,0.14798954129219055,0,95,,
0.5763784646987915,0.5763784646987915,0,111,,
0.9750488996505737,0.9750488996505737,0,127,,
,,0,131,0.3464815616607666,0.3464815616607666
0.34299975633621216,0.34299975633621216,1,143,,
0.17651954293251038,0.17651954293251038,1,159,,
0.14443214237689972,0.14443214237689972,1,175,,
0.14618590474128723,0.14618590474128723,1,191,,
0.2028636634349823,0.2028636634349823,1,207,,
0.1682685911655426,0.1682685911655426,1,223,,
0.154801607131958,0.154801607131958,1,239,,
0.20715825259685516,0.20715825259685516,1,255,,
,,1,263,0.3524700999259949,0.3524700999259949
0.21266713738441467,0.21266713738441467,2,271,,
0.20865952968597412,0.20865952968597412,2,287,,
0.19659805297851562,0.19659805297851562,2,303,,
0.19048990309238434,0.19048990309238434,2,319,,
0.15779289603233337,0.15779289603233337,2,335,,
0.1559114158153534,0.1559114158153534,2,351,,
1.0019521713256836,1.0019521713256836,2,367,,
0.19956323504447937,0.19956323504447937,2,383,,
,,2,395,0.3420047163963318,0.3420047163963318
0.1443771868944168,0.1443771868944168,3,399,,
0.1521143615245819,0.1521143615245819,3,415,,
0.11737038195133209,0.11737038195133209,3,431,,
0.864817202091217,0.864817202091217,3,447,,
0.18509727716445923,0.18509727716445923,3,463,,
0.17549601197242737,0.17549601197242737,3,479,,
0.1280280351638794,0.1280280351638794,3,495,,
0.1848805546760559,0.1848805546760559,3,511,,
0.05528783053159714,0.05528783053159714,3,527,,
,,3,527,0.1772647500038147,0.1772647500038147
0.13925637304782867,0.13925637304782867,4,543,,
0.253018856048584,0.253018856048584,4,559,,
0.05350853130221367,0.05350853130221367,4,575,,
0.04452402889728546,0.04452402889728546,4,591,,
0.3715275228023529,0.3715275228023529,4,607,,
0.09533895552158356,0.09533895552158356,4,623,,
0.04979097470641136,0.04979097470641136,4,639,,
0.21634259819984436,0.21634259819984436,4,655,,
,,4,659,0.14847256243228912,0.14847256243228912
0.15647834539413452,0.15647834539413452,5,671,,
0.1640172004699707,0.1640172004699707,5,687,,
0.0493396557867527,0.0493396557867527,5,703,,
0.05672644078731537,0.05672644078731537,5,719,,
0.4088033437728882,0.4088033437728882,5,735,,
0.025940563529729843,0.025940563529729843,5,751,,
0.03316810354590416,0.03316810354590416,5,767,,
0.04536254331469536,0.04536254331469536,5,783,,
,,5,791,0.13984674215316772,0.13984674215316772
0.5018093585968018,0.5018093585968018,6,799,,
0.024660805240273476,0.024660805240273476,6,815,,
0.5528284311294556,0.5528284311294556,6,831,,
0.042741358280181885,0.042741358280181885,6,847,,
0.31807413697242737,0.31807413697242737,6,863,,
0.07873985916376114,0.07873985916376114,6,879,,
0.07074922323226929,0.07074922323226929,6,895,,
0.08770323544740677,0.08770323544740677,6,911,,
,,6,923,0.12978875637054443,0.12978875637054443
0.08970800787210464,0.08970800787210464,7,927,,
0.16806857287883759,0.16806857287883759,7,943,,
0.02037951722741127,0.02037951722741127,7,959,,
0.08316057920455933,0.08316057920455933,7,975,,
0.18206314742565155,0.18206314742565155,7,991,,
0.024914689362049103,0.024914689362049103,7,1007,,
0.22289526462554932,0.22289526462554932,7,1023,,
0.09855952858924866,0.09855952858924866,7,1039,,
0.019035620614886284,0.019035620614886284,7,1055,,
,,7,1055,0.1454060673713684,0.1454060673713684
0.02224540337920189,0.02224540337920189,8,1071,,
0.0967312902212143,0.0967312902212143,8,1087,,
0.15129408240318298,0.15129408240318298,8,1103,,
0.1037604883313179,0.1037604883313179,8,1119,,
0.030944641679525375,0.030944641679525375,8,1135,,
0.3015155792236328,0.3015155792236328,8,1151,,
0.04651714116334915,0.04651714116334915,8,1167,,
0.21867316961288452,0.21867316961288452,8,1183,,
,,8,1187,0.15337572991847992,0.15337572991847992
0.2136160284280777,0.2136160284280777,9,1199,,
0.10746799409389496,0.10746799409389496,9,1215,,
0.02629995159804821,0.02629995159804821,9,1231,,
0.05287293344736099,0.05287293344736099,9,1247,,
0.15094269812107086,0.15094269812107086,9,1263,,
0.012491919100284576,0.012491919100284576,9,1279,,
0.044440045952796936,0.044440045952796936,9,1295,,
0.00957381073385477,0.00957381073385477,9,1311,,
,,9,1319,0.1460397094488144,0.1460397094488144
0.09900331497192383,0.09900331497192383,10,1327,,
0.00892329216003418,0.00892329216003418,10,1343,,
0.011778300628066063,0.011778300628066063,10,1359,,
0.010549183934926987,0.010549183934926987,10,1375,,
0.022481847554445267,0.022481847554445267,10,1391,,
0.013716375455260277,0.013716375455260277,10,1407,,
0.03391366824507713,0.03391366824507713,10,1423,,
0.026343822479248047,0.026343822479248047,10,1439,,
,,10,1451,0.1612025499343872,0.1612025499343872
0.05199951305985451,0.05199951305985451,11,1455,,
0.04116904363036156,0.04116904363036156,11,1471,,
0.05664081871509552,0.05664081871509552,11,1487,,
0.01430323626846075,0.01430323626846075,11,1503,,
0.026856577023863792,0.026856577023863792,11,1519,,
0.07094192504882812,0.07094192504882812,11,1535,,
0.030975719913840294,0.030975719913840294,11,1551,,
0.14366453886032104,0.14366453886032104,11,1567,,
0.2716040015220642,0.2716040015220642,11,1583,,
,,11,1583,0.19558697938919067,0.19558697938919067
0.0699719488620758,0.0699719488620758,12,1599,,
0.03740842640399933,0.03740842640399933,12,1615,,
0.005842361133545637,0.005842361133545637,12,1631,,
0.005718236789107323,0.005718236789107323,12,1647,,
0.015822477638721466,0.015822477638721466,12,1663,,
0.08727627992630005,0.08727627992630005,12,1679,,
0.04051956161856651,0.04051956161856651,12,1695,,
0.012366901151835918,0.012366901151835918,12,1711,,
,,12,1715,0.16576728224754333,0.16576728224754333
0.01151740737259388,0.01151740737259388,13,1727,,
0.007668261881917715,0.007668261881917715,13,1743,,
0.005896765273064375,0.005896765273064375,13,1759,,
0.035713210701942444,0.035713210701942444,13,1775,,
0.036906372755765915,0.036906372755765915,13,1791,,
0.02951471321284771,0.02951471321284771,13,1807,,
0.10144456475973129,0.10144456475973129,13,1823,,
0.038916897028684616,0.038916897028684616,13,1839,,
,,13,1847,0.16109001636505127,0.16109001636505127
0.05480140447616577,0.05480140447616577,14,1855,,
0.008028463460505009,0.008028463460505009,14,1871,,
0.007561285514384508,0.007561285514384508,14,1887,,
0.008415794000029564,0.008415794000029564,14,1903,,
0.007859165780246258,0.007859165780246258,14,1919,,
0.04642701521515846,0.04642701521515846,14,1935,,
0.0859132781624794,0.0859132781624794,14,1951,,
0.03380613774061203,0.03380613774061203,14,1967,,
,,14,1979,0.16464978456497192,0.16464978456497192
