val_acc,step,epoch,val_loss
0.234375,1,0,3.7964389324188232
0.484375,3,1,2.4202444553375244
0.3125,5,2,1.1782588958740234
0.359375,7,3,1.2283114194869995
0.4375,9,4,1.0584189891815186
